Product ID,Name,Category,Brand,Department,Retail Price,Unit Cost,Product Profit Margin,Product Profit Margin (%),Total Sales
12684,Allegra K 4 Pcs Detachable Red Bra Adjustable Elastic Soft Shoulder Strap,Intimates,Allegra K,Women,3.88,2.18,1.7,43.81,7.76
12612,Allegra K 5 Pcs Wheat Bra Extender 3x3 Hooks Extenders Strap New,Intimates,Allegra K,Women,3.9,2.13,1.77,45.38,23.4
28873,HDE Colorful Pattern Suspenders,Accessories,HDE,Men,3.95,1.39,2.56,64.81,51.35
15884,Dainty Cotton Handkerchief with Crochet Edges,Plus,Greatlookz,Women,3.99,2.18,1.81,45.36,31.92
13913,Womens Designer Sunglasses Shades Block 100% UVB UVA,Accessories,DG Eyewear,Women,3.99,1.56,2.43,60.9,19.95
28491,TopTie Unisex New Fashion Black & White College Stripe Skinny 2 inch Necktie,Accessories,TopTie,Men,3.99,1.68,2.31,57.89,35.91
13979,Dainty Cotton Handkerchief with Crochet Edges,Accessories,Greatlookz,Women,3.99,1.71,2.28,57.14,23.94
15829,Houndstooth Square Shawl (40x40) Red Black,Plus,TrendsBlue,Women,3.99,2.05,1.94,48.62,15.96
28758,LOCS BLACK Harcore Sunglasses JE3009B + Free Micro Fiber Bag,Accessories,Wholesale LOCS DG XLOOP CHOPPERS,Men,3.99,1.74,2.25,56.39,35.91
15788,Womens Designer Sunglasses Shades Block 100% UVB UVA,Plus,DG Eyewear,Women,3.99,2.02,1.97,49.37,7.98
28530,Solid Blank Short Beanie Cap - (Many Colors Available),Accessories,Magic,Men,4.04,1.57,2.47,61.14,32.32
28970,Long Beanie-Black W16S24E,Accessories,Magic,Men,4.13,1.47,2.66,64.41,16.52
13940,LADIES' FLEECE WINTER HAT,Accessories,MCap,Women,4.15,1.75,2.4,57.83,20.75
24922,Burlington Casual Acrylic Crew Sock,Socks,Burlington Socks,Men,4.5,2.76,1.74,38.67,31.5
25265,BH Slipper Socks One Size Fits All,Socks,BH Medwear,Men,4.5,2.86,1.64,36.44,22.5
14064,Allegra K Stretchy Thumb Hole Winter Arm Warmer Gloves for Women Black,Accessories,Allegra K,Women,4.68,2.1,2.58,55.13,9.36
9031,HUE Women's Argyle Sock,Socks & Hosiery,HUE,Women,4.85,1.97,2.88,59.38,4.85
15432,Cashmere Feel Patterened Unisex Pashmina Scarf - Plaid/Checks/Stripes Available,Plus,Nvie Designs,Women,4.58,2.13,2.45,53.49,18.32
13606,Elegant PASHMINA SCARF WRAP SHAWL STOLE,Accessories,Scarf_tradinginc,Women,2.5,1.11,1.39,55.6,10
28921,Designer Bow Ties for Men & Boys by Tok Tok Designs (Y753),Accessories,Tok Tok Designs,Men,2.95,1.32,1.63,55.25,17.7
14298,Classic Tear Drop Mirror Lens Aviator Sunglasses,Accessories,Urban Boundaries Eyewear,Women,1.72,0.65,1.07,62.21,5.16
13690,Retractable Colorful Rhinestone Lanyards with Breakaway Feature ID Badge Holder & Key Chain,Accessories,Coloriffics,Women,2.67,1.1,1.57,58.8,24.03
15744,Women's Soft and Warm Striped Fuzzy Socks 12 Color Options (One Size Fits Most Ages 13+),Plus,Eros,Women,2.95,1.39,1.56,52.88,8.85
25276,Wool Arctic Socks,Socks,LabelShopper,Men,2.99,1.8,1.19,39.8,32.89
12354,Alivila.Y Fashion Sexy Sheer Net Lingerie Sleepwear Sleep Dress Set With G-String 427,Intimates,Alivila.Y Fashion,Women,2.99,1.48,1.51,50.5,8.97
28551,Aviator Sunglasses Mirror Lens Silver Metal Frame 01,Accessories,Urban Boundaries Eyewear,Men,2.99,1.19,1.8,60.2,14.95
13607,Cashmere Feel Unisex Pashmina Scarf - Plaid/Checks/Houndtooth Available,Accessories,Scarf_tradinginc,Women,3.17,1.28,1.89,59.62,22.19
9044,Berkshire Trend Trouser Sock - Queen Sizes 6573,Socks & Hosiery,Berkshire,Women,3.2,1.16,2.04,63.75,19.2
28557,Black Silk Pre-Tied Bow Tie,Accessories,UniformTux,Men,3.25,1.3,1.95,60,32.5
12659,Allegra K Stretchy Black Butterfly Cross Back Bra Shoulder Strap,Intimates,Allegra K,Women,3.28,1.77,1.51,46.04,22.96
29025,TopTie Unisex New Fashion White and Black Keyboard Piano Skinny 2 Neck Tie Discount NeckTies,Accessories,TopTie,Men,3.29,1.22,2.07,62.92,9.87
12580,Allegra K 5 Pcs Bra Black 2x3 Hooks Extenders Extender Strap New,Intimates,Allegra K,Women,3.37,1.72,1.65,48.96,10.11
15834,Blues Brothers Wayfarer Dark Black Sun Glasses (More Colors),Plus,H2W,Women,3.4,1.76,1.64,48.24,13.6
28668,Plain Blank Baseball Hats Adjustable Velcro (25 Colors Available),Accessories,Magic,Men,3.5,1.23,2.27,64.86,38.5
15917,Keds Popcorn Socks in 3 Pack Different Style Great Colors,Plus,Keds,Women,3.5,1.64,1.86,53.14,14
12689,Allegra K 5 Pcs Thistle Bra Extender Removable 3x3 Hooks Strap,Intimates,Allegra K,Women,3.67,1.94,1.73,47.14,7.34
14118,LOCS Sunglasses Hardcore Black Dark Lens 0103 Designer Stylish w Bag,Accessories,Locs,Women,3.7,1.35,2.35,63.51,11.1
12602,BASIC INVISIBLE CLEAR BRA STRAP BY DESIGNSK,Intimates,DesignSK,Women,3.75,2.14,1.61,42.93,26.25
11027,Wurl Lace Trim Cotton Thong Panties,Intimates,Wurl,Women,3.8,2.11,1.69,44.47,19
9035,HDE Women's Solid Color Premium Microfiber Tights,Socks & Hosiery,HDE,Women,3.95,1.4,2.55,64.56,23.7
29033,HDE Pattern Suspenders,Accessories,HDE,Men,3.95,1.72,2.23,56.46,43.45
25046,LRG No Show Sock,Socks,LRG,Men,3.95,2.46,1.49,37.72,19.75
28577,SET of 2 - 6 Page Plastic Wallet Insert for Bifold Billfold or Trifolds Top Load (Be sure to look at the illustration to see the fit),Accessories,Plastics Made in U.S.A.,Men,3.98,1.5,2.48,62.31,11.94
13923,DG26 Style 3 DG Eyewear Designer Vintage Oversized Women's Sunglasses,Accessories,DG Eyewear,Women,3.99,1.59,2.4,60.15,31.92
29112,Solid Banded Bowtie,Accessories,boxed-gifts,Men,3.99,1.66,2.33,58.4,19.95
12667,Braza - Magic Clip Bra Strap Adjuster,Intimates,Torrid,Women,4,2.22,1.78,44.5,28
15253,EarPro Fleece Ear Warmers Very warm! (Black),Plus,H2W,Women,4.01,2.03,1.98,49.38,32.08
12603,Allegra K 6 Pcs Beige Bra Soft Adjustable Shoulder Strap Elastic,Intimates,Allegra K,Women,4.11,2.07,2.04,49.64,32.88
15757,NEW Aluminum Credit Card Wallet - RFID Blocking Case - Pink (New Products),Plus,,Women,4.21,2.24,1.97,46.79,25.26
15843,Buxton Snigglet Mini Scan Card Organizer w/ Keychain,Plus,Buxton,Women,4.38,2.02,2.36,53.88,13.14
28544,Satin Self Tie Bow Tie,Accessories,UniformTux,Men,4.49,1.83,2.66,59.24,35.92
13706,Cashmere Feel Patterened Unisex Pashmina Scarf - Plaid/Checks/Stripes Available,Accessories,Nvie Designs,Women,4.58,1.93,2.65,57.86,18.32
28384,New Solid Winter Long Beanie,Accessories,TopHeadwear,Men,4.84,1.96,2.88,59.5,29.04
24824,MediPeds Crew Socks,Socks,Medi,Men,4.89,2.83,2.06,42.13,58.68
9013,Animal Print Cheer Anklet,Socks & Hosiery,Chasse,Women,3.39,1.43,1.96,57.82,20.34
29065,LOCS Sunglasses Hardcore Black Dark Lens 0103 Designer Stylish w Bag,Accessories,Locs,Men,3.99,1.54,2.45,61.4,31.92
14274,Cross Stitch White Handkerchief,Accessories,Greatlookz,Women,3.99,1.57,2.42,60.65,43.89
14167,Houndstooth Square Shawl,Accessories,boxed-gifts,Women,3.99,1.48,2.51,62.91,27.93
10938,Yimei Women's Sexy Panty Briefs Knickers Bikini Lingerie Underwear,Intimates,Yimei,Women,3.99,2.31,1.68,42.11,19.95
12677,Bra Extenders - For Three Hook Bras,Intimates,Carol Wright Gifts,Women,3.99,1.97,2.02,50.63,27.93
15805,DG26 Style 3 DG Eyewear Designer Vintage Oversized Women's Sunglasses,Plus,DG Eyewear,Women,3.99,2.13,1.86,46.62,7.98
28344,910EB Fine Leather Hand Crafted Mans Man's Mens Men's Mini Wallet ID Credit Card Holder with Magnetic Money Clip,Accessories,Vine Branch,Men,4.08,1.62,2.46,60.29,40.8
15824,LADIES' FLEECE WINTER HAT,Plus,MCap,Women,4.15,1.94,2.21,53.25,29.05
13944,Buxton Snigglet Mini Scan Card Organizer w/ Keychain,Accessories,Buxton,Women,4.38,1.79,2.59,59.13,17.52
28826,The Broccoli Wad Money Band,Accessories,Wise Guy Productions,Men,4.74,1.74,3,63.29,4.74
28548,HDE Classic Bow Tie,Accessories,HDE,Men,2.95,1.28,1.67,56.61,17.7
28406,Extra Warm Metro Fleece Ear Warmers,Accessories,boxed-gifts,Men,3.46,1.39,2.07,59.83,17.3
15784,Dainty Floral Embroidered Cotton Handkerchief with Lace Trim,Plus,Greatlookz,Women,3.5,1.69,1.81,51.71,14
9410,Women's Popcorn Pop Corn Ankle Socks Movies,Socks & Hosiery,ThatsRad,Women,3.99,1.49,2.5,62.66,11.97
28370,Blank Cuff Beanie Visor (Comes In Many Different Colors),Accessories,blank apparel,Men,4.5,1.72,2.78,61.78,22.5
28892,New Leather Business Card Holder Expandable Wallet Money Card Case Black Mens,Accessories,Marshal,Men,4.63,1.74,2.89,62.42,9.26
15692,collection eighteen Women's Floppy Ribbon Sun Hat,Plus,Collection XIIX,Women,4.73,2.18,2.55,53.91,28.38
13891,White Checkered Fingerless Gloves4660Dmulti-c...,Accessories,Dasha,Women,3.95,1.6,2.35,59.49,27.65
9164,Women's Sock Monkey Ankle Socks,Socks & Hosiery,ThatsRad,Women,3.99,1.79,2.2,55.14,23.94
13614,EarPro Fleece Ear Warmers Very warm! (Black),Accessories,H2W,Women,4.01,1.7,2.31,57.61,36.09
13921,NEW Aluminum Credit Card Wallet - RFID Blocking Case - Pink (New Products),Accessories,,Women,4.21,1.64,2.57,61.05,25.26
12625,Allegra K 5 Pcs Beige 4 Rows Hook and Eye Tape Bra Strap Extender,Intimates,Allegra K,Women,4.33,2.43,1.9,43.88,38.97
13862,collection eighteen Women's Floppy Ribbon Sun Hat,Accessories,Collection XIIX,Women,4.73,2.08,2.65,56.03,42.57
28679,Charming Mens Initial Embroidered Cotton Handkerchief,Accessories,Greatlookz,Men,3.5,1.52,1.98,56.57,14
14248,Classic and Regal Initial Embroidered Cotton Handkerchief,Accessories,Greatlookz,Women,3.5,1.42,2.08,59.43,28
9202,Women's Mini Stripe Socks,Socks & Hosiery,HUE,Women,4.85,1.94,2.91,60,24.25
28454,Fingerless Long Glove - Black W20S44E,Accessories,Broner,Men,4.88,1.86,3.02,61.89,34.16
25165,World's Softest Men's Classic Low Cut Sock,Socks,World's Softest,Men,4.89,3.17,1.72,35.17,44.01
12628,Allegra K 6 Pcs Bra Adjustable Elastic Soft Shoulder Strap White,Intimates,Allegra K,Women,4.1,2.35,1.75,42.68,12.3
28657,TopTie Mens Formal Solid Black Satin Banded Bow Tie,Accessories,TopTie,Men,4.38,1.7,2.68,61.19,30.66
28411,HDE Solid Color Suspenders - 20 Styles,Accessories,HDE,Men,4.88,2.08,2.8,57.38,29.28
28705,X-Loop Mirored Sunglasses for Active Sports Fishing Cycling Golf Kayaking choose color,Accessories,X-Loop,Men,4.27,1.5,2.77,64.87,17.08
15575,Port Authority - Extra Long Fleece Scarf,Plus,Port Authority,Women,4.95,2.39,2.56,51.72,29.7
14258,Silver Glitter Headband with Elastic,Accessories,Activewear Apparel,Women,4.95,1.81,3.14,63.43,49.5
13780,Winter Fuzzy Ski Earmuff Ear muff Warmer Headband Black,Accessories,SK Hat shop,Women,4.95,2.19,2.76,55.76,44.55
28457,Silky Feel Poly Solid Color Tie,Accessories,boxed-gifts,Men,4.95,1.91,3.04,61.41,19.8
13791,Port Authority - Extra Long Fleece Scarf,Accessories,Port Authority,Women,4.95,1.91,3.04,61.41,44.55
14008,White Cotton Gloves. Black Cotton Gloves,Accessories,Gloves Online,Women,4.95,1.79,3.16,63.84,29.7
28711,Metal Classic Aviator Sunglasses,Accessories,Aviator,Men,4.95,2.05,2.9,58.59,24.75
15569,Winter Fuzzy Ski Earmuff Ear muff Warmer Headband Black,Plus,SK Hat shop,Women,4.95,2.38,2.57,51.92,4.95
28803,VERY SOFT NECK HOUNDSTOOTH SCARF KANYE WEST STYLE different colors available black-white,Accessories,TrendsBlue,Men,4.97,1.77,3.2,64.39,24.85
6115,'Sexy Legs' Tiger Print Fashion Leggings,Leggings,boxed-gifts,Women,4.99,2.93,2.06,41.28,19.96
15334,Multi-Colors Trendy Plaid & Houndstooth Check Soft Square Scarf,Plus,TrendsBlue,Women,4.99,2.41,2.58,51.7,44.91
13656,Multi-Colors Trendy Plaid & Houndstooth Check Soft Square Scarf,Accessories,TrendsBlue,Women,4.99,2.14,2.85,57.11,29.94
13937,Metro Fleece Ear Warmers,Accessories,boxed-gifts,Women,4.99,1.93,3.06,61.32,34.93
5917,'Sexy Legs' Floral Print Fashion Leggings,Leggings,boxed-gifts,Women,4.99,2.92,2.07,41.48,49.9
14210,DG Eyewear Black Hard Case for sunglasses Hardcase Oversized Case,Accessories,DG Eyewear,Women,4.99,2.02,2.97,59.52,54.89
11201,Women's Booty Pop Enhancing Panties by Booty Pop,Intimates,Booty Pop,Women,4.99,2.86,2.13,42.69,29.94
14327,Winter Womens / Mens - Black Gloves,Accessories,Fashion Gloves,Women,4.99,2.23,2.76,55.31,19.96
13778,Classic Tortoise Wayfarer Style Sunglasses,Accessories,Kendall Drive,Women,4.99,1.91,3.08,61.72,29.94
5876,Soho Apparel Girls Seamless Lady 6 1/2 Shorts SS-04 Nylon Spandex,Leggings,Soho Girls,Women,4.99,3.23,1.76,35.27,19.96
7068,Loravicci Womens Pink Short W/Draw String,Shorts,Loravicci,Women,4.99,2.64,2.35,47.09,34.93
24836,LRG Core Collection Spikez Mens Crew Socks,Socks,LRG,Men,4.99,2.77,2.22,44.49,29.94
15830,Metro Fleece Ear Warmers,Plus,boxed-gifts,Women,4.99,2.73,2.26,45.29,29.94
9442,Womens Solid Color Tights - Free Size - Colors Available,Socks & Hosiery,Nvie Designs,Women,4.99,1.98,3.01,60.32,14.97
12613,Large Lingerie Bag,Intimates,Bajer,Women,4.99,2.45,2.54,50.9,34.93
15571,Classic Tortoise Wayfarer Style Sunglasses,Plus,Kendall Drive,Women,4.99,2.43,2.56,51.3,24.95
28992,Plain Short Cable Beanies (Comes In 10 Different Colors),Accessories,MM Collections,Men,5,2.2,2.8,56,40
9002,LRG Hensler Crew Sock,Socks & Hosiery,LRG,Women,5,2.23,2.77,55.4,50
11016,Levusha Fashions Ladies Panties Fine Nylon Spandex Seamless Boyshort,Intimates,Levusha Fashions,Women,5,2.84,2.16,43.2,40
24793,LRG Crew Sock,Socks,LRG,Men,5,2.96,2.04,40.8,30
16949,Seinfeld Happy Festivus For the Rest of Us Light Gray Adult T-shirt Tee,Tops & Tees,Seinfeld,Men,5,2.57,2.43,48.6,25
13972,Double Hole Grommets Canvas Web Belt,Accessories,beltiscool,Women,5.09,2.18,2.91,57.17,25.45
12588,Allegra K 5 Pcs Bra White 3x3 Hooks Extenders Soft Extender Strap,Intimates,Allegra K,Women,5.16,2.63,2.53,49.03,36.12
28357,Black Belt for Buckle,Accessories,Ivory Falcon,Men,5.33,1.91,3.42,64.17,26.65
28963,Port Authority - Stretch Fleece Headband,Accessories,Port Authority,Men,5.37,2.42,2.95,54.93,26.85
25323,Men's Extra Soft Bamboo Knee High Socks - 2 Colors Available (Sizes 9-15),Socks,BBC,Men,5.49,3.44,2.05,37.34,27.45
14216,Knitted Beanie Crochet Winter Hat with Elegant Knitted Flower and Fur Ball Many Colors,Accessories,NYGiftStop Knit Hat,Women,5.49,2.23,3.26,59.38,10.98
9085,Hanes Silk Reflections Women's Too Day Sheer Knee Highs Reinforced Toe 3 Pairs,Socks & Hosiery,Hanes,Women,5.5,2.02,3.48,63.27,33
6250,17 Inches Seamless Leggings White,Leggings,FineBrandShop,Women,5.5,3.42,2.08,37.82,27.5
9380,Hanes Too Sheer Knee High 3 Pair Barely Black 1Size,Socks & Hosiery,Hanes,Women,5.5,2.06,3.44,62.55,16.5
14197,DG Eyewear Sunglasses White Frame Smoke Lens 37323 with Free Micro Fiber Bag,Accessories,DG Eyewear,Women,5.55,2.13,3.42,61.62,27.75
18570,Men's 7-Footer Sports Tube Socks,Active,Wigwam,Men,5.59,2.53,3.06,54.74,16.77
12559,NiPPits Concealment Strips,Intimates,Nippits,Women,5.6,3.11,2.49,44.46,28
28613,JUMBO Earmuffs with Thinsulate Lining by CTM Super Warm,Accessories,CTM,Men,5.63,2.28,3.35,59.5,16.89
14192,New Trendy Pixel Shape Wayfarer Sunglasses,Accessories,106Shades,Women,5.64,2.26,3.38,59.93,50.76
14246,CTM Women's Skinny Leather Belt,Accessories,CTM,Women,5.69,2.33,3.36,59.05,11.38
15953,collection eighteen Women's Spring Solid Floppy Hat,Plus,Collection XIIX,Women,5.78,2.82,2.96,51.21,28.9
13870,Curlycue Big Lense Sunglasses,Accessories,GirlPROPS,Women,5.83,2.4,3.43,58.83,34.98
28712,Curlycue Big Lense Sunglasses,Accessories,GirlPROPS,Men,5.83,2.12,3.71,63.64,23.32
15704,Curlycue Big Lense Sunglasses,Plus,GirlPROPS,Women,5.83,2.69,3.14,53.86,29.15
14037,Allegra K Ladies Black Fashion Fingerless Ribbing Short Gloves,Accessories,Allegra K,Women,5.87,2.32,3.55,60.48,46.96
10822,Snob Butterfly Thong,Intimates,Snob,Women,5.9,3.1,2.8,47.46,23.6
5775,Khaki Beige Seamless Capri Leggings Three Quarter Length,Leggings,FineBrandShop,Women,5.9,3.48,2.42,41.02,29.5
5934,Fushia Color Seamless Capri Leggings Three Quarter Length,Leggings,FineBrandShop,Women,5.9,3.32,2.58,43.73,23.6
9185,Berkshire Queen Size Sheer Knee High - 6451,Socks & Hosiery,Berkshire,Women,5.95,2.31,3.64,61.18,11.9
25242,Men's Nike Dri-Fit Golf Essential No-Show Socks,Socks,Nike,Men,5.95,3.87,2.08,34.96,41.65
12435,Thigh Hi Two Tone,Intimates,Morris Costumes,Women,5.95,3.06,2.89,48.57,11.9
24833,Extra Wide Dress Crew Sock 2700,Socks,Extra Wide Sock Company,Men,5.95,3.65,2.3,38.66,35.7
24832,Extra Wide Dress Crew Sock- King Size 3800,Socks,Extra Wide Sock Company,Men,5.95,3.56,2.39,40.17,71.4
25205,Extra Wide Athletic Crew Sock 6100,Socks,Extra Wide Sock Company,Men,5.95,3.74,2.21,37.14,23.8
28378,Formal Black Satin Banded Men's Bow Tie,Accessories,Private Island,Men,5.95,2.5,3.45,57.98,47.6
28446,Black Leatherette Tie Case : Leatherette Tie Holder,Accessories,Ties.com,Men,5.95,2.17,3.78,63.53,23.8
15816,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,Plus,MG,Women,5.95,3.18,2.77,46.55,41.65
15988,Voodoo Tactical Shemagh Arab Head Scarf Kafiya,Plus,VooDoo Tactical,Women,5.98,2.76,3.22,53.85,29.9
14042,Voodoo Tactical Shemagh Arab Head Scarf Kafiya,Accessories,VooDoo Tactical,Women,5.98,2.52,3.46,57.86,53.82
14489,Motherhood Maternity: Sheer Maternity Pantyhose With Lycra Spandex,Maternity,Motherhood Maternity,Women,5.98,2.7,3.28,54.85,35.88
28575,District Comfortable Slouch Beanie. DT618,Accessories,District,Men,5.99,2.17,3.82,63.77,47.92
14225,New Classy Womens Skinny Leather Belt with Shiny Buckle Many Colors S-XL,Accessories,NYfashion101,Women,5.99,2.49,3.5,58.43,17.97
6271,Chances R Fleece Leggings (Sizes 4 - 6X),Leggings,Chances R,Women,5.99,3.52,2.47,41.24,35.94
14326,Winter Fall Plain Solid Scarf,Accessories,NYGiftStop Scarf,Women,5.99,2.38,3.61,60.27,17.97
28815,Dickies Men's 14 Inch Cuffed Knit Beanie Hat,Accessories,Dickies,Men,5.99,2.61,3.38,56.43,41.93
6085,Gatta Flosie 4 Leggings,Leggings,Gatta,Women,5.99,3.76,2.23,37.23,29.95
6063,Floral Graphics Fashion Leggings,Leggings,boxed-gifts,Women,5.99,3.38,2.61,43.57,41.93
13988,TopTie Unisex Elastic Y-Back Suspenders 1 inch(3CM) Solid J-Clip Suspender--Black,Accessories,TopTie,Women,5.99,2.67,3.32,55.43,41.93
25322,RHINO SOCKS SS series Bikapelli crimson/navy anklet sports cycling biking hiking running socks,Socks,Rhino Socks,Men,5.99,3.38,2.61,43.57,23.96
12867,Alki'i Classic Unisex Boardshorts,Swim,Alki'i,Women,5.99,2.55,3.44,57.43,35.94
25636,Fruit of the Loom White T Shirt 4 XL 3 pack (25-60 in.) 5.6 Oz,Underwear,Fruit of the Loom,Men,5.99,2.77,3.22,53.76,29.95
935,Turtle Neck Dickey Inner Sweater Many Colors,Sweaters,NYGiftStop Winter,Women,5.99,2.49,3.5,58.43,41.93
17043,Mens Soft Fleece Vest,Tops & Tees,LabelShopper,Men,5.99,3.25,2.74,45.74,23.96
9392,ililily Semi Opaque Color 80 Denier Tights Full-length Pantyhose (tights-007),Socks & Hosiery,ililily,Women,5.99,2.39,3.6,60.1,17.97
9264,Soxnet Women's Christmas & Holiday Knee High Sock - Merry Christmas Black Cat,Socks & Hosiery,Soxnet,Women,5.99,2.33,3.66,61.1,5.99
